Author_id,Isbn
A0176,0061030147
A0177,0140250964
A0178,0446527165
A0179,0671461494
A0180,0385337639
A0181,039575514X
A0182,0451206673
A0183,0330332775
A0059,0486284735
A0184,0486284735
A0185,0671021745
A0185,0671047612
A0185,0671504282
A0186,0399138684
A0187,0785263292
A0188,0785263292
A0189,0830714014
A0190,0345354931
A0191,0553278223
A0192,3150000335
A0193,3150000335
A0191,3257203659
A0194,3257203659
A0195,3257207522
A0196,3257207522
A0191,3257208626
A0191,3257208634
A0197,3257208634
A0191,3257208669
A0198,3257208669
A0191,3257210450
A0199,3257210450
A0191,3257212054
A0191,3257212429
A0191,3257214154
A0200,3257214154
A0201,3257214154
A0191,3257216416
A0202,3257233051
A0203,3257233051
A0204,342311360X
A0205,3423116714
A0206,3423241489
A0207,3426605686
A0208,3426605686
A0209,3453212150
A0210,3462021095
A0211,3492045642
A0212,3492045642
A0213,3492045642
A0214,3498020862
A0215,3498020862
A0216,3499110695
A0217,3499110695
A0218,3499110695
A0219,3499110695
A0216,3499151502
A0217,3499151502
A0218,3499151502
A0220,3518111000
A0196,3518111000
A0221,3548254268
A0209,3570300099
A0222,3570300099
A0223,3596292646
A0224,0060977493
A0225,0312872682
A0132,0316602906
A0132,0316693006
A0052,0345311396
A0042,0345378490
A0052,0345404793
A0226,0345433173
A0227,0375400117
A0228,0375705856
A0229,0380717018
A0230,0380718332
A0231,0380754509
A0232,0380754509
A0233,038076654X
A0233,0380807866
A0234,0385316895
A0025,0385497466
A0025,0385508042
A0235,0385509456
A0025,0385511612
A0236,0385730586
A0237,0425164403
A0238,0440234964
A0132,0446605484
A0239,0446610399
A0240,0449006522
A0226,0449911004
A0145,0451162072
A0241,0451186648
A0242,0452282152
A0243,051513290X
A0244,0553580388
A0245,0590598848
A0246,0590629719
A0064,0671023616
A0136,0671027387
A0247,0684848783
A0136,0743486226
A0248,0786863986
A0249,0803251718
A0250,0804117934
A0251,140003180X
A0018,155874262X
A0019,155874262X
A0252,155874262X
A0253,0060987103
A0254,0151008116
A0255,0375704965
A0256,0525947647
A0257,0804111359
A0018,1558744150
A0019,1558744150
A0020,1558744150
A0258,0435272683
A0138,0316782505
A0259,006102063X
A0259,0060013117
A0259,0060199563
A0260,006052779X
A0261,006052779X
A0262,0060563079
A0263,0060809027
A0259,0061040967
A0264,0061040967
A0259,0061050474
A0259,0061052515
A0259,0061052523
A0265,0064472264
A0059,0140620664
A0266,0312148267
A0267,0312156960
A0268,0312890044
A0269,034543191X
A0270,034543191X
A0271,0373836023
A0272,0375751513
A0273,0375751513
A0274,0375801677
A0275,0375801677
A0276,0375814248
A0277,0375814248
A0096,0375823352
A0096,037582345X
A0096,0375823468
A0209,0380730448
A0191,0380973839
A0278,0385327773
A0279,0394586239
A0280,0439510112
A0281,0440241413
A0282,0451409256
A0283,0451523415
A0059,0451526279
A0284,0451526279
A0285,0451526341
A0286,0486415864
A0287,0553280589
A0057,0571197639
A0288,0670035262
A0289,0670035262
A0290,0670035262
A0291,0670035262
A0286,0679423079
A0279,0679751343
A0292,0684833395
A0293,0743245024
A0294,0749748001
A0294,0749748028
A0270,0963094424
A0295,1401201172
A0296,1401201172
A0297,1401201172
A0270,1563892278
A0298,1563892278
A0299,1563892278
A0300,1563892278
A0295,1563898586
A0270,156971620X
A0301,156971620X
A0302,1592571301
A0303,0374270325
A0304,0375719180
A0305,0440235502
A0025,044023722X
A0306,1573225487
A0088,1853260673
A0307,0060977477
A0308,0345391691
A0309,0520011171
A0310,0520011171
A0311,0553278746
A0312,0670856045
A0313,0670856045
A0314,0872200760
A0315,0872200760
A0316,0872200760
A0317,0937858994
A0318,0937858994
A0319,0937858994
A0320,0671649949
A0321,0590431110
A0322,0064470113
A0323,0553571486
A0324,0972044205
A0325,0312963009
A0326,0345430476
A0327,0345435869
A0328,0345435869
A0329,0380728729
A0330,038081840X
A0331,038081840X
A0332,0449912302
A0333,055329198X
A0334,0671018930
A0335,0812541642
A0336,0312988699
A0337,0486282112
A0184,0486282112
A0338,0670815373
A0339,0385313748
A0340,1575843366
A0064,0684193957
A0179,0345371984
A0341,0345371984
A0342,0380730138
A0343,1573228737
A0344,9681500555
A0345,0380711109
A0346,0452283914
A0148,0425120279
A0347,067153484X
A0348,0380728273
A0349,0446606197
A0350,0771076002
A0351,0771076002
A0352,0771088191
A0353,1559703237
A0354,3596214629
A0355,3596214629
A0356,0062770500
A0357,0671847546
A0358,0060188731
A0276,0140374248
A0359,0140374248
A0360,0142001740
A0361,0142001740
A0362,0142001740
A0363,0195086295
A0364,0195086295
A0365,0195086295
A0136,0312995423
A0366,0380704587
A0367,0380815923
A0025,0385416342
A0368,0385418493
A0025,038542471X
A0369,0425098109
A0370,0449005410
A0371,0449202631
A0371,0449207544
A0372,0515128554
A0179,0517577402
A0373,0590450875
A0374,0590450875
A0375,0590450875
A0373,0590481371
A0374,0590481371
A0376,067103619X
A0377,0684177730
A0378,0684180200
A0376,0743411269
A0379,0743470389
A0380,076218857X
A0381,0767905938
A0382,0800706544
A0383,0801096677
A0384,0849953014
A0385,0891091963
A0386,0915811537
A0387,0927545373
A0388,1575024179
A0389,1880185008
A0390,0140345809
A0391,0156528207
A0392,0380012863
A0393,0451154916
A0394,0785815147
A0395,0875421288
A0396,1567184294
A0397,156718796X
A0398,1862047626
A0399,0020437501
A0399,0020437501
A0400,0198320264
A0401,0198320264
A0402,0373196989
A0403,0373245580
A0404,0451527747
A0405,0451527747
A0063,0671867113
A0406,0812504208
A0153,0060173289
A0407,0060973897
A0408,0060973897
A0307,006101351X
A0409,0140104682
A0410,0312143370
A0411,0316666343
A0412,039456894X
A0413,0440224675
A0414,0449002632
A0415,0449213773
A0416,0452279690
A0415,0553569058
A0417,0679427430
A0418,0679725393
A0419,0802114369
A0420,0803233019
A0421,0803233019
A0422,0819154946
A0423,0897322339
A0424,0940322978
A0425,0940322978
A0426,1573225126
A0427,1579651658
A0428,1878424319
A0429,0600586898
A0430,1853260622
A0431,1857938011
A0432,0060804157
A0433,0140382658
A0434,0152012966
A0435,0312283784
A0190,0345297709
A0190,0345313097
A0436,0345335465
A0437,0345416848
A0438,0385333404
A0025,044021145X
A0439,0449212084
A0440,0553582682
A0441,0590947257
A0442,0590947257
A0443,074345829X
A0444,074345829X
A0445,0786913878
A0446,0801491827
A0447,0816729913
A0448,0843136685
A0449,0843136685
A0450,0843136685
A0451,0866119531
A0452,0866119531
A0453,0866119531
A0286,0866119566
A0454,0866119566
A0455,0870441663
A0456,0870441663
A0457,1561561428
A0458,1561561428
A0459,1561561428
A0165,0553210092
A0436,0553258524
A0338,0688163726
A0460,1569471096
A0461,055358099X
A0411,0316168815
A0313,014023828X
A0462,0316314927
A0353,0345424719
A0463,0375414746
A0464,0375726403
A0415,0385503857
A0465,0425156842
A0466,0440226104
A0467,0452277337
A0062,0553802488
A0468,0671021001
A0469,0767903579
A0470,0805063897
A0471,0679777431
A0472,0553285343
A0473,0486285529
A0182,0671002481
A0474,0812523385
A0475,0895774666
A0476,0020199090
A0477,0385495145
A0478,0679733825
A0068,0842329129
A0069,0842329129
A0479,0345451260
A0480,0740700235
A0481,0380973545
A0482,0380973545
A0483,0393321576
A0145,0743424425
A0484,0786868015
A0485,0786868015
A0486,0786868015
A0487,0446610178
A0488,0684854953
A0489,0684854953
A0063,0743229878
A0490,0380617625
A0491,0380732335
A0492,0385337132
A0493,0440235057
A0493,0445402040
A0494,0618119760
A0495,0871138646
A0496,0026329859
A0497,0060621257
A0057,0060915544
A0057,0060917016
A0498,0060925000
A0287,0060932759
A0154,0061000280
A0499,0192815318
A0500,0192815318
A0501,0312195516
A0502,0380792664
A0503,0393048977
A0186,0399137807
A0064,039914739X
A0066,0451203046
A0504,0451410556
A0505,0451523318
A0506,0486281965
A0507,0486292940
A0508,051762639X
A0418,0684824442
A0509,0743458303
A0510,081296666X
A0511,0819215635
A0512,0819215635
A0513,0819215635
A0514,0880011025
A0515,1561011525
A0516,1877727083
A0517,1877727083
A0518,0486206173
A0519,0486206173
A0520,0312278586
A0521,0312278586
A0522,0140370900
A0523,0674511255
A0524,0030096189
A0525,0030096189
A0526,0312965745
A0527,0345374657
A0528,0395710901
A0529,080521061X
A0530,0823032612
A0531,0679310002
A0532,0312288115
A0533,0316171107
A0534,0380710218
A0535,0515118656
A0536,0553289063
A0537,0671000306
A0063,0671673688
A0538,1561672033
A0539,0425178242
A0540,0425178242
A0541,0618173870
A0254,0156027321
A0542,0375403582
A0543,0385721420
A0544,0451202341
A0545,0743418190
A0546,0385335407
A0547,0965746828
A0548,0060923245
A0549,0486272664
A0550,0786015276
A0551,0786015276
A0552,0060913509
A0372,0553272837
A0553,0440225078
A0554,0312145543
A0062,0425181111
A0555,0380732688
A0556,0140286276
A0372,0373484100
A0370,0449907481
A0557,0553107305
A0558,080213825X
A0372,0515127833
A0559,0345441133
A0560,0515134279
A0561,0945586051
A0025,0385490992
A0025,0385424728
A0562,0312980388
A0563,0590419625
A0564,0590419625
A0025,0385472951
A0565,0451195663
A0566,0425182878
A0567,0425182878
A0568,0553564528
A0568,055356451X
A0063,0743412621
A0569,0849943728
A0570,0849943450
A0569,084994371X
A0571,0590406019
A0572,0020442408
A0573,0553225987
A0574,042517736X
A0139,0671868713
A0575,038549825X
A0576,0553202294
A0577,0345313860
A0577,0345369947
A0578,067170124X
A0579,0345353625
A0580,0308102282
A0581,006017143X
A0582,0805056491
A0583,0679401377
A0584,1562827049
A0585,1562827049
A0546,0385306032
A0586,0816152446
A0587,0821772953
A0588,0345379454
A0163,0553576925
A0063,0743206053
A0589,0688169678
A0590,0439319552
A0591,0439319552
A0592,0590870157
A0593,0590870157
A0594,0307001164
A0595,0307001164
A0596,0307001164
A0597,0307001164
A0598,0440441501
A0599,0590687301
A0600,0439061644
A0601,0439569842
A0591,0439569842
A0602,0307118703
A0603,0590418858
A0604,030720152X
A0605,0816728739
A0606,0816728739
A0607,0816728739
A0608,0865050880
A0609,0812519655
A0609,0812524853
A0610,0449211770
A0611,193072229X
A0609,0812521129
A0612,0345251733
A0613,1400077826
A0614,0312995431
A0614,0312312628
A0615,0446394521
A0616,0590021117
A0247,068484267X
A0617,068484267X
A0618,068484267X
A0619,0553578693
A0599,0380709260
A0620,0380709260
A0621,0807565288
A0614,0312986769
A0096,0345413377
A0096,0345413369
A0096,0679893105
A0622,0061096091
A0588,0345369068
A0588,0451184718
A0610,0449209121
A0623,0060938455
A0624,080411952X
A0625,0060575808
A0625,0060558865
A0626,0767912918
A0627,0553298860
A0628,0385335679
A0066,0440122090
A0629,0671525832
A0191,0553279572
A0630,0061009059
A0631,0060930187
A0632,0516076272
A0052,0679450432
A0633,0821775863
A0633,0821770209
A0634,0670855758
A0635,0553562819
A0132,0446364193
A0636,0446519138
A0637,0425179672
A0638,0061042943
A0639,0399144463
A0640,0399144463
A0157,0965404560
A0641,006015781X
A0642,006015781X
A0643,0060930705
A0644,0312206763
A0645,0316116025
A0646,0156013967
A0647,0385314019
A0648,0743444167
A0649,0618231617
A0650,1567920047
A0651,1567920047
A0652,1567920047
A0653,0811203220
A0654,1573229148
A0655,0787955671
A0656,0787955671
A0657,0787955671
A0658,0425174484
A0659,0385496907
A0660,0446523992
A0661,0446523992
A0662,0446523992
A0663,0140185216
A0664,0140185216
A0665,0684717255
A0666,0684717255
A0667,0486272745
A0668,0486272745
A0669,0062507249
A0670,0684801221
A0671,1576737357
A0672,0060083298
A0673,0446672211
A0674,0140293248
A0675,0807070718
A0676,0807070718
A0677,0743213831
A0678,0345305477
A0679,0061080519
A0680,0142000205
A0681,0316735027
A0682,193156146X
A0138,015600710X
A0683,0062517856
A0054,0679767789
A0684,0449911683
A0685,0425169626
A0684,0449207757
A0684,0449245691
A0686,0140029400
A0686,0140021566
A0687,2253004022
A0688,2253004022
A0689,2253005274
A0690,2253005274
A0691,225300670X
A0692,225300670X
A0693,225300670X
A0694,2266084372
A0695,2070362388
A0696,2266029460
A0696,2266029460
A0697,2253007102
A0698,2253007102
A0699,2253007102
A0191,2070417743
A0700,2070417743
A0701,2070417743
A0702,2266033689
A0703,2070384349
A0704,2070384349
A0687,207053880X
A0705,207053880X
A0706,2070334368
A0707,2290314951
A0708,229000510X
A0709,3492207006
A0710,3499177757
A0711,3499177757
A0712,3889774016
A0713,3502670005
A0714,0905762487
A0712,3499222604
A0715,3746670055
A0059,0140620427
A0716,3596144434
A0224,3442724686
A0048,3442724686
A0136,0385504209
A0239,0446525502
A0717,0385500769
A0718,0399147012
A0183,0670892963
A0342,0688180639
A0138,0316789089
A0719,0451197275
A0332,0425184129
A0720,0151001006
A0025,0385505833
A0721,0679442790
A0722,0679442790
A0723,0525943862
A0559,0609605925
A0724,0060191929
A0063,0743206045
A0376,0684864843
A0725,0684867818
A0726,0743406176
A0727,0380978539
A0353,0679603352
A0728,0679410430
A0239,0446523569
A0729,0671042556
A0052,0679450440
A0730,0140107649
A0731,0609606727
A0239,0446527793
A0239,0446531332
A0732,1570717257
A0733,0060192631
A0734,0385420161
A0735,0385420161
A0736,0385420161
A0035,0385420161
A0737,0385420161
A0738,0345339711
A0739,052594463X
A0307,039304016X
A0372,0399147128
A0740,0670031046
A0741,0394574745
A0132,0316969443
A0063,0743230051
A0742,0743230051
A0132,0316693200
A0743,0316693200
A0725,0684868911
A0744,0842336214
A0745,0399148582
A0746,0399148582
A0376,0684864320
A0723,0525944834
A0747,0345428900
A0748,0451176812
A0141,0671525794
A0371,0718144538
A0749,0446602086
A0750,0394551427
A0751,0394551427
A0752,0064407667
A0753,0064407667
A0754,0007100221
A0755,2253148539
A0756,2253148539
A0152,2253043974
A0757,2253043974
A0758,2020315491
A0759,0747549923
A0760,0743462335
A0761,0140253580
A0762,0947782141
A0763,057120354X
A0764,0349101779
A0760,0743222229
A0765,185479549X
A0766,0140292918
A0767,1854795554
A0768,1858813093
A0769,2871290911
A0770,2871290911
A0771,0198604025
A0772,1842151053
A0773,2253063339
A0774,1860198597
A0775,0767908473
A0776,0767908473
A0777,1842040154
A0778,0140622063
A0763,0571209521
A0755,2264009306
A0779,1841952931
A0780,0890877564
A0781,0890877564
A0782,1405200677
A0783,0416196772
A0784,0747538069
A0785,0375501347
A0548,0060927240
A0786,0316776963
A0787,156341029X
A0270,0060934719
A0788,1886383421
A0789,1888451084
A0790,0451450256
A0791,1555835953
A0792,0395877563
A0793,0962893862
A0794,1555834531
A0795,0393318435
A0796,0889740828
A0416,1563410443
A0797,1563899388
A0798,1563411148
A0799,0553579681
A0799,0553579673
A0062,0451181379
A0800,0786889160
A0801,0345370740
A0802,0553574175
A0802,0553574167
A0802,0553574159
A0803,0312287240
A0804,0679801146
A0805,0446300101
A0806,0821750410
A0062,0425142485
A0807,0451456548
A0808,0060006048
A0809,0312906552
A0810,0312906552
A0811,0440117291
A0812,0425049981
A0813,0374386676
A0379,0786886463
A0814,0345395379
A0173,0380788497
A0815,0307215342
A0813,0374343381
A0816,0345403339
A0817,0440226694
A0817,0440219604
A0818,0767903285
A0819,0345429176
A0413,038529929X
A0820,1573229571
A0179,0345418778
A0366,0517201658
A0145,0743211383
A0339,039914370X
A0821,1884777805
A0822,0312977905
A0823,0812521331
A0824,0812521331
A0062,0451205421
A0825,0894342789
A0826,0440218535
A0827,0449207595
A0828,0670844594
A0829,039457513X
A0830,0394559487
A0831,0804001944
A0832,0590897985
A0833,0689832877
A0834,0689832877
A0835,0689829698
A0836,0689829698
A0837,0439042917
A0571,0064409457
A0838,0064409457
A0571,0064405052
A0838,0064405052
A0839,043922165X
A0840,0152162445
A0840,0152162577
A0840,015216250X
A0841,1562477528
A0842,0439221676
A0843,0439221684
A0842,0439221684
A0842,0439221714
A0842,0439221706
A0842,0439221730
A0844,0440415993
A0845,0895872102
A0846,068983585X
A0847,068983585X
A0179,0345391802
A0848,0440219078
A0849,185424597X
A0850,185424597X
A0851,2080105434
A0852,349913358X
A0853,3257201761
A0118,3404121686
A0854,3404121686
A0855,3404121686
A0118,3404118960
A0856,3404118960
A0857,3404118960
A0858,3404118960
A0859,0345356578
A0859,0345346971
A0721,0753804700
A0145,0451155750
A0484,0786890436
A0485,0786890436
A0145,0786890436
A0860,0415928087
A0861,0415928087
A0862,0521427150
A0863,0812923278
A0864,0884111342
A0865,0345428544
A0179,0671694049
A0866,080901582X
A0250,0449006557
A0867,0373250339
A0868,0380820447
A0869,0385497679
A0870,0385497679
A0871,0385497679
A0872,0451454243
A0873,0941423042
A0874,0373871562
A0108,0553101439
A0875,0898151910
A0876,0835949362
A0877,0880701102
A0148,039914563X
A0878,0312853238
A0879,0688048730
A0880,0688048730
A0148,0425161722
A0881,0425161722
A0025,0385493800
A0882,0849916399
A0883,1928791107
A0884,1928791107
A0885,067175145X
A0025,0440211727
A0886,0877192820
A0887,0380002450
A0888,0793133955
A0888,0793133955
A0889,0394178017
A0148,0425134350
A0890,0385479689
A0891,0385479689
A0892,0380754851
A0893,0380538504
A0894,044661162X
A0629,0671742566
A0186,0515122408
A0895,0440222818
A0896,0451204050
A0897,038533334X
A0898,0449131548
A0899,0440120470
A0900,0451188209
A0901,0451188209
A0234,0440130913
A0439,0449001954
A0052,0345404777
A0902,0451185277
A0546,0440224829
A0903,0671779338
A0535,0515134368
A0190,0380759497
A0904,0380759497
A0577,3442098424
A0905,3442098424
A0906,0394578791
A0907,1558505377
A0908,0373245696
A0909,0743201078
A0910,068983571X
A0911,0553256785
A0912,0892967994
A0913,0061064505
A0914,0061064505
A0915,1551668785
A0916,0836230868
A0917,0381999866
A0918,0380817144
A0919,0380752115
A0920,0553212583
A0487,0446364762
A0574,0425166619
A0921,061312975X
A0922,0765341972
A0923,0590514776
A0924,0373037430
A0925,0064472779
A0926,0553581279
A0927,0373750013
A0928,0393030342
A0568,0553561618
A0273,0312422156
A0929,0425139069
A0930,0450029956
A0931,0450029956
A0932,0130139165
A0933,0373196741
A0887,0451524489
A0934,0451524489
A0935,0140065172
A0025,044022165X
A0936,0373123485
A0937,0373123108
A0938,0590225170
A0939,0590225170
A0574,0399143165
A0940,044132231X
A0941,0425124347
A0942,0786889705
A0943,0312282990
A0944,0425137945
A0944,042512892X
A0944,0425113892
A0945,0394820371
A0946,0394820371
A0947,0449134482
A0948,014036336X
A0539,0375821813
A0949,0812516826
A0950,0345348036
A0951,0679420118
A0952,0871137380
A0953,0741409690
A0953,0741407213
A0953,0759612277
A0953,0741402858
A0953,1585007366
A0953,074141127X
A0953,0741403471
A0953,0741403781
A0953,0741403056
A0953,0741405784
A0953,0741402912
A0244,0553568760
A0052,034538184X
A0954,0140620125
A0059,0140620109
A0955,0375420827
A0179,0671745530
A0956,0805062971
A0954,0553211412
A0957,0671510053
A0958,1573229385
A0959,0945397410
A0960,0385334036
A0223,0060914653
A0190,0345347536
A0961,055321313X
A0962,3473540420
A0963,0375507256
A0541,0060529709
A0964,0876850867
A0663,0140274154
A0965,0679743464
A0965,0375704027
A0966,0375704027
A0967,0874067391
A0968,0874067391
A0969,0590484753
A0970,0451527038
A0971,0451527038
A0972,1590520777
A0973,1590520777
A0969,0590484672
A0974,0975311255
A0975,0743237188
A0135,0553586122
A0619,0553584510
A0633,0345341201
A0976,1551662744
A0234,0440175623
A0234,0440216842
A0977,0345443284
A0978,0553285653
A0979,0394800133
A0980,0394800133
A0981,0060972777
A0982,0064401472
A0983,0064401472
A0073,0156001942
A0984,055326382X
A0353,0345418018
A0670,0684801469
A0985,0393961192
A0986,0393961192
A0987,0393961192
A0703,9997522052
A0314,0872203492
A0988,0872203492
A0989,0872203492
A0990,0872203492
A0214,0312420145
A0991,0911104542
A0992,0375401318
A0993,0140253602
A0994,0671789422
A0995,1566193966
A0996,014016930X
A0997,0140077022
A0998,0679732764
A0287,0553273604
A0287,0553273914
A0999,0060256672
A0999,0060256672
A1000,039592720X
A1001,1859671500
A1002,1859671500
A1003,1859671500
A1004,1859671500
A1005,0810935627
A0153,0060928336
A0468,0671003755
A1006,0553268449
A1007,0684844729
A1008,0395051649
A1009,0395051649
A1010,0375705228
A0152,038001503X
A1011,0835607860
A1012,158574218X
A1013,158574218X
A1014,0806996021
A1015,0440215625
A0786,0316777730
A1016,0375501851
A1017,0877733759
A1018,0805019367
A1019,0140070206
A1020,0140236589
A0766,0140042393
A1021,1590520653
A1022,1590521994
A1023,1590521994
A1024,3446202218
A1025,3446202218
A0581,3499134446
A1026,067142517X
A1027,0671726889
A0132,0446601241
A0145,0451124340
A0577,0345384466
A0132,0446604801
A0577,0345422392
A1028,0679734775
A1029,0440414717
A1030,0689715625
A1031,0689715625
A0926,0812539389
A1032,0152013369
A0944,0425124819
A0082,0345409469
A1033,0345409469
A1034,1558747346
A1035,0373250177
A1036,0763615382
A1037,0965975401
A1038,0965975401
A1039,0965975401
A1040,0965975401
A1041,0141001771
A1042,068930935X
A0457,0451523369
A1043,0786884622
A1044,0449005569
A1045,0671027344
A1046,0786927089
A1047,0786927089
A1048,0684831058
A0287,006019491X
A1049,006019491X
A1050,0684819066
A1051,0375420673
A1052,0140368558
A1053,0395353416
A0287,0066211611
A1054,0066211611
A1055,0312254164
A1056,0312254164
A1057,3453147243
A1058,3746611229
A1059,3492229336
A1060,3453177800
A1061,3423009152
A1062,3596133319
A1063,3822813397
A1064,3426871874
A1065,3453171977
A0465,3423620005
A1066,3423620005
A0738,034537522X
A0738,0345375211
A1067,0345375211
A1068,034545829X
A0663,0140042520
A0270,0380789035
A1069,0446677574
A1070,0345358791
A0581,0060964049
A1071,0380558483
A1072,1558171398
A1073,0425121046
A1074,0441317502
A1075,0804102279
A1076,0812551389
A0859,0345298985
A0859,0345316991
A0859,034531042X
A0859,0345310306
A0859,0345310292
A0859,034531011X
A1077,0679734058
A0718,0451130448
A1078,0553266500
A0413,0440206154
A0042,0345370775
A1079,0441366945
A1080,0441366945
A1081,0441366945
A1082,0441366945
A1083,0553574833
A1084,0553574833
A1085,0915950839
A1086,0060242388
A1087,0452265347
A0633,0743457943
A0372,0373484224
A1088,0553205757
A1089,0060171510
A1090,0312421001
A1091,0786000988
A0270,0380789019
A1092,0451135989
A0366,0380018179
A1093,0679004785
A1094,0684825821
A1095,0517395754
A1096,067101420X
A0224,0679457313
A1097,0394557433
A1098,0553571656
A0501,0312169787
A1099,0942257324
A1100,0805008950
A1101,0786866276
A1102,0151000638
A0008,0151000638
A1103,0140266771
A0994,015644450X
A0728,0679723420
A1104,0441004016
A1105,0671500546
A0272,0140620338
A0549,0460878263
A1106,0460878263
A0202,3257061269
A1107,3257061269
A1108,3453210999
A1109,3404126661
A0239,3453177622
A1110,3453177622
A1111,3453863593
A1112,3499108518
A1113,3518367064
A1045,3453199766
A1114,3746670144
A1115,3746670144
A1057,3453088433
A1116,0425137015
A1117,0425137015
A1118,0425137015
A1119,0425137015
A1120,0553572490
A0108,0553576976
A1121,0451450604
A1122,0441001335
A1123,0451454677
A1124,0373257074
A1125,0441435351
A1126,0373092237
A1127,0373057296
A1128,0373058446
A0764,0349103232
A0223,0571197779
A1129,0679745653
A0498,0571200389
A1130,0785268480
A1131,0785268480
A1132,0785268480
A1133,014044503X
A1134,014044503X
A1135,014044503X
A1136,0851707777
A1137,0006276199
A1137,0551031123
A1137,0551030682
A1137,0551032510
A1138,0551032510
A0247,000649840X
A0088,0140431268
A0227,0099771519
A1139,0486265862
A0139,067102535X
A0964,0876855575
A1140,0330376136
A1141,0140272658
A1142,3407780028
A1142,3407780028
A1142,3407780117
A1142,3407780117
A1143,3257250398
A1144,3257250398
A1143,3257250053
A1144,3257250053
A1145,3257250460
A1146,3442435951
A1147,3442435838
A1148,3442435838
A1149,3608919724
A1150,3608919724
A1151,3608919724
A1152,3453132262
A1153,3453132262
A1154,379411664X
A1155,379411664X
A1142,340780573X
A1142,3407805853
A0956,0385720920
A0956,0385498721
A1156,0972948503
A1157,0972948503
A0488,0380813815
A0081,2070372294
A1158,2264030542
A1159,0030615321
A1160,0836217632
A1161,0140099832
A0256,0385314744
A1162,0316107417
A1163,0894803700
A0371,0449221164
A1164,0553801031
A0969,0590457225
A1165,0316929190
A1166,0553052845
A0283,0140390693
A1167,0140390693
A1168,0140390693
A1169,0439404371
A1170,0439404371
A1171,0939766027
A1172,0939766027
A1173,0679741011
A1174,0345307674
A0095,0425071421
A0436,0345297687
A0283,0766607119
A1175,0766607119
A1176,0766607119
A1177,1573225789
A1178,0380754843
A1179,0380754843
