Author_id,Name
A0153,Rebecca Wells
A0154,Tony Hillerman
A0155,Robert James Waller
A0156,Rachel Harris
A0157,Ian Mcewan
A0158,Michael Lewis
A0159,Richard Zimler
A0160,Norman Jetmundsen
A0161,Lorenzo Carcaterra
A0162,Anne Frasier
A0163,Kay Hooper
A0164,Daphne Du Maurier
A0165,Nathaniel Hawthorne
A0166,Leo Marx
A0167,Nick Page
A0168,Laura Wolf
A0169,Lois Duncan
A0170,Susan Grant
A0171,Barbara Vine
A0172,Shirley Rousseau Murphy
A0173,Jane Lindskold
A0174,Betty Smith
A0175,Cybill Shepherd
A0176,Aimee Lee Ball
A0177,Stewart O'Nan
A0178,David Baldacci
A0179,Douglas Adams
A0180,Mary Lawson
A0181,Willa Cather
A0182,Olivia Goldsmith
A0183,Helen Fielding
A0184,Dover Thrift Editions
A0185,Franklin W. Dixon
A0186,Lilian Jackson Braun
A0187,Holly Virden
A0188,Michelle Mckinney Hammond
A0189,H. Norman Wright
A0190,Piers Anthony
A0191,Ray Bradbury
A0192,Friedrich Schiller
A0193,Walter Schafarschik
A0194,Peter Naujack
A0195,Raymond Chandler
A0196,Hans Wollschläger
A0197,Thomas Schlück
A0198,Norbert Wölfl
A0199,Alexander Schmitz
A0200,Jürgen Bauer
A0201,Alastair Ker
A0202,Paulo Coelho
A0203,Maralde Meyer-minnemann
A0204,Gabriel García Márquez
A0205,Fay Weldon
A0206,Arabella Weir
A0207,Kiana Davenport
A0208,Margarete Längsfeld
A0209,Sue Townsend
A0210,Renan Demirkan
A0211,Michael Moore
A0212,Helmut Dierlamm
A0213,Heike Schlatterer
A0214,Jonathan Franzen
A0215,Bettina Abarbanell
A0216,J. D. Salinger
A0217,Annemarie Böll
A0218,Heinrich Böll
A0219,Elisab
A0220,James Joyce
A0221,Joanna Trollope
A0222,Antoinette Gittinger
A0223,Milan Kundera
A0224,Arundhati Roy
A0225,Robert S. Levinson
A0226,Lorna Landvik
A0227,Arthur Golden
A0228,Kent Haruf
A0229,Patricia D Cornwell
A0230,Patricia D. Cornwell
A0231,Carol J. Farley
A0232,Tom Newsom
A0233,Kathleen E. Woodiwiss
A0234,Belva Plain
A0235,Mark Haddon
A0236,Ann Brashares
A0237,Erich Segal
A0238,Elizabeth Adler
A0239,Nicholas Sparks
A0240,John Saul
A0241,Steve Thayer
A0242,Tracy Chevalier
A0243,Judith Kelman
A0244,Michael Palmer
A0245,Francine Hughes
A0246,Norman Bridwell
A0247,Frank Mccourt
A0248,Malachy Mccourt
A0249,Mari Sandoz
A0250,Anne Perry
A0251,Alexander Mccall Smith
A0252,Barbara Bergman
A0253,Gregory Maguire
A0254,Yann Martel
A0255,Ruth Rendell
A0256,Al Franken
A0257,Donna Tartt
A0258,John Milne
A0259,Terry Pratchett
A0260,E. B. White
A0261,Garth Williams
A0262,J. M. Barrie
A0263,Mary O'Hara
A0264,Paul Kidby
A0265,Louise Rennison
A0266,Kenneth Grahame
A0267,Bernard Cornwell
A0268,Charles De Lint
A0269,Lord Dunsany
A0270,Neil Gaiman
A0271,Georgette Heyer
A0272,Oscar Wilde
A0273,Jeffrey Eugenides
A0274,Ted Hughes
A0275,Andrew Davidson
A0276,Roald Dahl
A0277,Quentin Blake
A0278,Donna Jo Napoli
A0279,A.s. Byatt
A0280,Tanuja Desai Hidier
A0281,Sophie Kinsella
A0282,Isabel Wolff
A0283,Louisa May Alcott
A0284,Margaret Drabble
A0285,George Orwell
A0286,Charles Dickens
A0287,Isabel Allende
A0288,Ellen Datlow
A0289,Terri Windling
A0290,Charles Vess
A0291,Neil Gaim
A0292,Joseph Heller
A0293,John Galsworthy
A0294,Enid Blyton
A0295,Alan Moore
A0296,Kevin O'Neill
A0297,Ben Dimagmaliw
A0298,Sam Kieth
A0299,Mike Dringenberg
A0300,Malcolm Jon
A0301,John Bolton
A0302,Trudy Suggs
A0303,Tom Wolfe
A0304,Brady Udall
A0305,Homer Hickam
A0306,Pearl Abraham
A0307,Sebastian Junger
A0308,Karen Armstrong
A0309,Mary Barnard
A0310,Dudley Fitts
A0311,David Brin
A0312,T. C. Boyle
A0313,T. Coraghessan Boyle
A0314,Plato
A0315,Alexander Nehamas
A0316,Paul Woodruff
A0317,Lynda Madaras
A0318,Dane Saavedra
A0319,Jackie Aher
A0320,Stephen Mccauley
A0321,Isabelle Holland
A0322,Pam Conrad
A0323,Lurlene Mcdaniel
A0324,Brian Kaufman
A0325,John Darnton
A0326,Martin Schenk
A0327,David Eddings
A0328,Leigh Eddings
A0329,Paul Reiser
A0330,David G. Hartwell
A0331,Kathryn Cramer
A0332,Dave Barry
A0333,John R. Holt
A0334,Theodore Beale
A0335,Frank M. Robinson
A0336,Mary Jane Clark
A0337,Mary Shelley
A0338,Robert Westall
A0339,Robert B. Parker
A0340,Rita Chapman Works
A0341,Mark Carwardine
A0342,A. Manette Ansay
A0343,Sarah Waters
A0344,Anne Frank
A0345,Barry Lopez
A0346,Greg Palast
A0347,Andrea Kane
A0348,Nevada Barr
A0349,Margaret Maron
A0350,Edna Barker
A0351,Shelagh Rogers
A0352,Muriel Whitaker
A0353,John Irving
A0354,William Golding
A0355,Hermann Stiehl
A0356,Harperreference
A0357,Ltd
A0358,Ann Patchett
A0359,Lane Smith
A0360,Sue Monk
A0361,Sue Monk Kidd Kidd
A0362,Roseanne J. Serra (co
A0363,Bob Thiele
A0364,Bob Golden
A0365,Steve Allen
A0366,Colleen Mccullough
A0367,Joanne Harris
A0368,Thomas Cahill
A0369,Michael Hudson
A0370,Jane Smiley
A0371,Dick Francis
A0372,Nora Roberts
A0373,Jean Marzollo
A0374,Walter Wick
A0375,Carol Devine Carson
A0376,Barbara Delinsky
A0377,P. D. James
A0378,Arthur W. Upfield
A0379,Christopher Rice
A0380,Rex Stout
A0381,Joan Anderson
A0382,Vance Havner
A0383,Warren W. Wiersbe
A0384,Max Lucado
A0385,Larry Crabb
A0386,Barry Neil Kaufman
A0387,Bob Sjogren
A0388,Frederick J. Moody
A0389,Neal Pirolo
A0390,William Sleator
A0391,Antoine De Saint-exupery
A0392,Richard Bach
A0393,Kevin Sullivan
A0394,Michele Morgan
A0395,Scott Cunningham
A0396,David Allen Hulse
A0397,Richard Webster
A0398,Bernard King
A0399,Pat Hutchins
A0400,William Shakespeare
A0401,Roma Gill
A0402,Melissa Mcclone
A0403,Cheryl St. John
A0404,Lewis Carroll
A0405,Martin Gardner
A0406,Mark Twain
A0407,Mary Crow Dog
A0408,Richard Erdoes
A0409,Linda Gordon
A0410,Florence King
A0411,Alice Sebold
A0412,Spalding Gray
A0413,Thomas Harris
A0414,Edward Rutherfurd
A0415,Margaret Atwood
A0416,Dorothy Allison
A0417,Maya Angelou
A0418,Edith Wharton
A0419,Mary Brave Bird
A0420,John G. Neihardt
A0421,Vine Deloria Jr.
A0422,Roland Warren
A0423,Johnny Molloy
A0424,James Mccourt
A0425,Wayne Koestenbaum
A0426,Elizabeth Wurtzel
A0427,Bill Bradley
A0428,Don Miguel Ruiz
A0429,Paul Lester
A0430,Leo Tolstoy
A0431,Simon Nye
A0432,Robert A Johnson
A0433,Marc Gascoigne
A0434,Stephanie Maze
A0435,Sandra Dallas
A0436,Anne Mccaffrey
A0437,David Gemmell
A0438,Laura Zigman
A0439,Margaret Truman
A0440,Mark C. Young
A0441,Paula Danziger
A0442,Tony Ross
A0443,Richard A. Lupoff
A0444,Bruce Coville
A0445,Carrie A. Bebris
A0446,Ellen Carol Dubois
A0447,Candice F. Ransom
A0448,Sam Bobrick
A0449,Julie Stein
A0450,Price Stern Sloan
A0451,Anna
A0452,Vogel
A0453,Malvina (editor) Sewell
A0454,Marian Leighton
A0455,Donna K. Grosvenor
A0456,James L. Stanfield
A0457,Mary Wollstonecraft Shelley
A0458,D. J. Arneson
A0459,Eva Clif
A0460,Valerie Block
A0461,Luanne Rice
A0462,Ellen Gilchrist
A0463,Tim Gautreaux
A0464,Richard Russo
A0465,Jostein Gaarder
A0466,Anna Quindlen
A0467,Diane Johnson
A0468,Wally Lamb
A0469,Adeline Yen Mah
A0470,Barbara Ehrenreich
A0471,Dorothy Dunnett
A0472,John Lecarre
A0473,Singer Media Corporation
A0474,Emily Dickinson
A0475,Hazel Harrison
A0476,Joseph Girzone
A0477,Joseph F. Girzone
A0478,Lorraine Anderson
A0479,Ad Hudler
A0480,Josephine Carlton
A0481,Ted L. Nancy
A0482,Jerry Seinfeld
A0483,Francis Wheen
A0484,Ellen Rimbauer
A0485,Joyce Reardon
A0486,Steven Rimbauer
A0487,Sidney Sheldon
A0488,Christopher Moore
A0489,Pamela Johnson
A0490,Robert Lacey
A0491,Tim Dorsey
A0492,Jodi Compton
A0493,Elmore Leonard
A0494,Lynn Coady
A0495,John Lawton
A0496,Eileen Yin-fei Lo
A0497,Tilden Edwards
A0498,Vikram Seth
A0499,Elizabeth Gaskell
A0500,Elizabeth Porges Watson
A0501,Anita Diamant
A0502,Lauren Haney
A0503,Gerald Stern
A0504,Martha Grimes
A0505,Henry James
A0506,Sarah Orne Jewett
A0507,William Carlos Williams
A0508,Rh Value Publishing
A0509,Harry Kemelman
A0510,Mil Millington
A0511,Suzanne G. Farnham
A0512,Joseph P. Gill
A0513,R. Taylor Mclean
A0514,Czeslaw Milosz
A0515,Margaret Guenther
A0516,Roberto Juarroz
A0517,Mary Crow
A0518,Hans Kmoch
A0519,Barnie F. Winkelman
A0520,Emma Mclaughlin
A0521,Nicola Kraus
A0522,Paul Jennings
A0523,Mark E. Neely Jr.
A0524,Stephen J. Weininger
A0525,Frank R. Stermitz
A0526,Larry Katzenstein
A0527,David Steinman
A0528,Alfie Kohn
A0529,Paula Polk Lillard
A0530,David Lewis
A0531,Billie Livingston
A0532,Adele Lang
A0533,Jen Banbury
A0534,Patricia Daniels Cornwell
A0535,Catherine Coulter
A0536,Dominick Dunne
A0537,Clive Cussler
A0538,John Pascal
A0539,Carl Hiaasen
A0540,Diane Stevenson
A0541,Jonathan Safran Foer
A0542,Francesca Marciano
A0543,Julia Glass
A0544,Tawni O'Dell
A0545,Jennifer Weiner
A0546,Danielle Steel
A0547,Leon Hale
A0548,Russell Banks
A0549,Samuel Taylor Coleridge
A0550,Bradley P Warshauer
A0551,Bradley P. Warshauer
A0552,Bobbie Ann Mason
A0553,Karen Robards
A0554,Emma Lathen
A0555,Faye Kellerman
A0556,Jacquelyn Mitchard
A0557,Diane Mott Davidson
A0558,Candace Bushnell
A0559,Kristin Hannah
A0560,Michael Marshall
A0561,Allen Widome
A0562,Wilbur Smith
A0563,Mike Thaler
A0564,Jared Lee
A0565,Michael Slade
A0566,John Sandford
A0567,John Camp
A0568,Tami Hoag
A0569,Ted Dekker
A0570,Angela Hunt
A0571,C. S. Lewis
A0572,C. S Lewis
A0573,Will Eisner
A0574,Robin Cook
A0575,E. Lynn Harris
A0576,Linda Goodman
A0577,Anne Rice
A0578,Judith Rossner
A0579,Marilyn French
A0580,Wayne W. Dyer
A0581,Armistead Maupin
A0582,Julie Morgenstern
A0583,Peter Straub
A0584,James Maybrick
A0585,Shirley Harrison
A0586,Barbara Taylor Bradford
A0587,Lisa Jackson
A0588,Sharyn Mccrumb
A0589,Cokie Roberts
A0590,Shana Corey
A0591,Mark Teague
A0592,Jesse S. Ostrow
A0593,Charles Shaw
A0594,Justine Korman
A0595,Bill Langley
A0596,Ron Dias
A0597,Walt Disney P
A0598,Patricia Reilly Giff
A0599,Beverly Cleary
A0600,K.a. Applegate
A0601,Jane Yolen
A0602,Golden Books
A0603,Marvin Miller
A0604,Craig Boldman
A0605,H. G. Wells
A0606,Raymond James
A0607,Jim Deal
A0608,Bobbie Kalman
A0609,Mercedes Lackey
A0610,Dorothy Gilman
A0611,Moveon.org
A0612,Christopher Finch
A0613,Charles Frazier
A0614,Julia Spencer-fleming
A0615,Fannie Flagg
A0616,Laura Ingall Wilder
A0617,Brooke Zimmer
A0618,John Fontana
A0619,Lisa Gardner
A0620,Tracy Dockray
A0621,Gertrude Chandler Warner
A0622,Lynn S. Hightower
A0623,Eric Schlosser
A0624,Suzanne Brockmann
A0625,Gail Carson Levine
A0626,Frances Kuffel
A0627,Susan Conant
A0628,David Schickler
A0629,Judith Mcnaught
A0630,Janet Evanovich
A0631,Sylvia Plath
A0632,Ilona Koidahl
A0633,Fern Michaels
A0634,Betsy Byars
A0635,Bruce Sterling
A0636,Sarah Ban Breathnach
A0637,Alice Hoffman
A0638,Lisa Scottoline
A0639,Spencer Johnson
A0640,Kenneth Blanchard
A0641,David Feldman
A0642,Kas Schwan
A0643,Richard Bausch
A0644,Katie Fforde
A0645,James Burke
A0646,Bliss Broyard
A0647,Sara Paretsky
A0648,Charles Webb
A0649,Elizabeth Benedict
A0650,Stanley Morison
A0651,Brooke Crutchley (editor)
A0652,Mike P
A0653,Henry Miller
A0654,David Whyte
A0655,Thomas Cummings
A0656,Warren Bennis
A0657,Gretchen M. Spreitze
A0658,Martha Beck
A0659,Desmond Tutu
A0660,Clayborne Carson
A0661,Kris Shepard
A0662,Andrew Young
A0663,Jack Kerouac
A0664,Ann Charters
A0665,Martin Buber
A0666,Walter Kaufmann
A0667,Niccolò Machiavelli
A0668,N. H. Thompson
A0669,Paul Monette
A0670,Ernest Hemingway
A0671,Melody Carlson
A0672,Alisa Kwitney
A0673,Billie Letts
A0674,Melissa Bank
A0675,Rena Kornreich Gelissen
A0676,Heather Dune Macadam
A0677,Moon Unit Zappa
A0678,Ted Mooney
A0679,Susan Wiggs
A0680,Gwyn Hyman Rubio
A0681,Elisabeth Robinson
A0682,Audrey Niffenegger
A0683,Tim Farrington
A0684,Chaim Potok
A0685,Scott Spencer
A0686,V. S. Naipaul
A0687,Jean Giono
A0688,Anne-marie Marina-médiavilla
A0689,Alain-fournier
A0690,Daniel Leuwers
A0691,Erich Maria Remarque
A0692,Alzir Hella
A0693,Olivier Bournac
A0694,Roy Lewis
A0695,René Barjavel
A0696,Alexandra David-néel
A0697,Charles Baudelaire
A0698,Marie-jeanne Durry
A0699,Yves Florenn
A0700,Jacques Chambon
A0701,Henri Robillot
A0702,Radiguet
A0703,Emile Zola
A0704,Henri Mitterand
A0705,Willi Glasauer
A0706,Louis Pergaud
A0707,Collectif
A0708,Robert A. (anson) Heinlein
A0709,Sten Nadolny
A0710,Cheryl Benard
A0711,Edit Schlaffer
A0712,Christa Wichterich
A0713,John Blofeld
A0714,Christine Obbo
A0715,Peter B Heim
A0716,Hera Lind
A0717,Jane Hamilton
A0718,Jack Higgins
A0719,Max Allan Collins
A0720,David Guterson
A0721,Bernhard Schlink
A0722,Carol Brown Janeway
A0723,Eric Jerome Dickey
A0724,Patricia Gaffney
A0725,Richard Paul Evans
A0726,Marc Levy
A0727,Laney Katz Becker
A0728,Vladimir Nabokov
A0729,Jennifer Lauck
A0730,Joe Keenan
A0731,Jeanne Ray
A0732,Tony Parsons
A0733,Jane Mccafferty
A0734,Laura Esquivel
A0735,Cathleen Toelke
A0736,Carol
A0737,Thomas
A0738,J.r.r. Tolkien
A0739,Venise Berry
A0740,Jan Karon
A0741,Cormac Mccarthy
A0742,Carol Higgins Clark
A0743,Andrew Gross
A0744,Travis Thrasher
A0745,John Mcenroe
A0746,John Kaplan
A0747,Sally Mandel
A0748,Linda Lay Shuler
A0749,Janet Dailey
A0750,Claude Lanzmann
A0751,Simone De Beauvoir
A0752,Lemony Snicket
A0753,Brett Helquist
A0754,Matthew Thomas
A0755,Boris Vian
A0756,Noël Arnaud
A0757,Claude Couffon
A0758,Luis Sepulveda
A0759,Hubert Selby
A0760,Jacob Weisberg
A0761,David Lodge
A0762,Lily Seafield
A0763,Philip Ardagh
A0764,Iain Banks
A0765,David Crombie
A0766,John Steinbeck
A0767,Michael O'Mara
A0768,Richard Brassey
A0769,William Vance
A0770,Jean Van Hamme
A0771,R. W. Holder
A0772,From The Editors Of Southwater
A0773,Bernard Werber
A0774,Andy Sloss
A0775,Allan Zola Kronzek
A0776,Elizabeth Kronzek
A0777,Charles L Squire
A0778,Gordon Jarvie
A0779,Alan Spence
A0780,Helene Siegel
A0781,Karen Gillingham
A0782,A A Milne
A0783,A. A. Milne
A0784,Eric Thompson
A0785,Elizabeth Strout
A0786,David Sedaris
A0787,Leslie Feinberg
A0788,Chris Anne Wolfe
A0789,Lauren Sanders
A0790,Gael Baudino
A0791,Lauren Maddison
A0792,Carol Anshaw
A0793,Jean Stewart
A0794,Emma Donoghue
A0795,Deborah E. Mcdowell
A0796,Karen X. Tulchinsky
A0797,Jill Thompson
A0798,Jody Seay
A0799,Manda Scott
A0800,Jeff Foxworthy
A0801,Terry Brooks
A0802,A.c. Crispin
A0803,Madelyn Arnold
A0804,Tamora Pierce
A0805,Carolyn Chute
A0806,Sara Orwig
A0807,Melisa Michaels
A0808,Isobel Bird
A0809,Frederik Pohl
A0810,C. M. Kornbluth
A0811,Vonda Mcintyre
A0812,John Varley
A0813,Nancy Garden
A0814,Nicola Griffith
A0815,Julie Campbell
A0816,Lee Smith
A0817,Jacqueline Woodson
A0818,Pat Summitt
A0819,Richard Belzer
A0820,Nick Hornby
A0821,Andrew L Johnson
A0822,Marian Babson
A0823,Kathleen O'Neal Gear
A0824,W. Michael Gear
A0825,Paul Phifer
A0826,Peter Hoeg
A0827,Erma Bombeck
A0828,John Mortimer
A0829,E.l. Doctorow
A0830,Simon Schama
A0831,Frank Waters
A0832,Karen Hesse
A0833,Kenneth Oppel
A0834,S.d. Schindler
A0835,Carol Ryrie Brink
A0836,Richard Mantel
A0837,K. A. Applegate
A0838,Pauline Baynes
A0839,Shelly Roberts
A0840,Diane Duane
A0841,Carolee Brockman
A0842,Rachel Roberts
A0843,Shelley Roberts
A0844,Lensey Namioka
A0845,Jackie Eileen Behrend
A0846,Andrew Clements
A0847,Brian Selznick
A0848,Lois Lowry
A0849,Brother Yun
A0850,Paul Hattaway
A0851,Katherine Khodorowsky
A0852,Milena Moser
A0853,Patricia Highsmith
A0854,Gabriele Conrad
A0855,Lore Straßl
A0856,Jürgen Speh
A0857,Till R. Lohmeyer
A0858,Gabriele
A0859,Stephen R. Donaldson
A0860,Todd Herzog
A0861,Sander Gilman
A0862,John Borneman
A0863,Robert S. Mcelvaine
A0864,Bram Stoker
A0865,Michael A. Stackpole
A0866,Langston Hughes
A0867,Carol Matthews
A0868,Carole Matthews
A0869,Jacqueline L. Tobin
A0870,Raymond G. Dobard
A0871,Maude S. Wah
A0872,Marion Zimmer Bradley
A0873,Andrei Codrescu
A0874,Carolyne Aarsen
A0875,Jack Chapman
A0876,Anthony J Alessandra
A0877,Charles R Swindoll
A0878,Orson Scott Card
A0879,V. A. Howard
A0880,J. H. Barton
A0881,Steve Pieczenik
A0882,Walter P. Wilson
A0883,Bruce Fries
A0884,Marty Fries
A0885,Rush Limbaugh
A0886,Anne Dingus
A0887,Kate Chopin
A0888,Kirk Kazanjian
A0889,Donald Merriam Allen
A0890,William R. Maples
A0891,Michael Browning
A0892,Carl Hausman
A0893,Richard Peck
A0894,Michael Connelly
A0895,John Lescroart
A0896,John Jakes
A0897,Alice Mcdermott
A0898,Hilary Bailey
A0899,Howard Fast
A0900,Jessica Fletcher
A0901,Donald Bain
A0902,Eileen Goudge
A0903,Arnette Lamb
A0904,Piers A. Jacob
A0905,Michael Schulte
A0906,Walter Cronkite
A0907,Tom Mula
A0908,Lois Faye Dyer
A0909,Sharon Lamb
A0910,Sir Arthur Conan Doyle
A0911,Agatha Christie
A0912,Mark Cohen
A0913,Sherry Shahan
A0914,Betsy Haynes
A0915,Helen R. Myers
A0916,Della Rowland
A0917,Irving Adler
A0918,Elizabeth Peters
A0919,Shirlee Busbee
A0920,Emily Brontë
A0921,Frank Peretti
A0922,John A. Keel
A0923,Jan Gabriel
A0924,Rebecca Winters
A0925,Meg Cabot
A0926,Tanith Lee
A0927,Cathy Thacker
A0928,Richard Burton
A0929,Beverly Hastings
A0930,Savinien Cyrano De Bergerac
A0931,G. Strachan
A0932,James C. Robertson
A0933,Teresa Southwick
A0934,Barbara H. Solomon
A0935,Judith Guest
A0936,Sandra Field
A0937,Helen Brooks
A0938,Blanche Fisher Wright
A0939,Blanche Fish Wright
A0940,George Gately
A0941,Dean R. Koontz
A0942,James Lee Burke
A0943,Michael Chabon
A0944,Barbara Michaels
A0945,Norton Juster
A0946,Jules Feiffer
A0947,Michael Blake
A0948,John Bellairs
A0949,Carole Nelson Douglas
A0950,William Goldman
A0951,Marc Reisner
A0952,Mark Bowden
A0953,Jonathan Pearce
A0954,Emily Bronte
A0955,Alain De Botton
A0956,Chuck Palahniuk
A0957,E. Annie Proulx
A0958,Adam Davies
A0959,Harry M. Walker
A0960,Nicholas Evans
A0961,L.m. Montgomery
A0962,Hermann Vinke
A0963,David Mitchell
A0964,Charles Bukowski
A0965,Haruki Murakami
A0966,Jay Rubin
A0967,Frances Hodgson Burnett
A0968,Gabriela Dellosso
A0969,Patricia C. Wrede
A0970,Jack London
A0971,Alex Kershaw
A0972,Bruce Wilkinson
A0973,David Kopp
A0974,Malcolm Goodway
A0975,Ann-marie Macdonald
A0976,Linda Howard
A0977,Sue Miller
A0978,Sheri S. Tepper
A0979,Dr. Seuss
A0980,Theodor Seuss Geisel
A0981,Tobias Wolff
A0982,Isaac Bashevis Singer
A0983,Maurice Sendak
A0984,Gary Zukav
A0985,Alfred H. Kelly
A0986,Herman Belz
A0987,Winifred A. Harbison
A0988,John M. Cooper
A0989,D. S. Hutchinson
A0990,John M. Coop
A0991,B Kliban
A0992,Judy Blunt
A0993,William Trevor
A0994,Alice Walker
A0995,Stephen Gazi
A0996,Wallace Stegner
A0997,Don Delillo
A0998,Ralph Ellison
A0999,Shel Silverstein
A1000,Jhumpa Lahiri
A1001,Liz Trigg
A1002,Tessa Evelegh
A1003,Stewart Walton
A1004,Sally Walto
A1005,Charles Sullivan
A1006,Tom Robbins
A1007,Ursula Hegi
A1008,Samuel Richardson
A1009,George Sherburn
A1010,Valerie Martin
A1011,Gill Farrer-halls
A1012,John Mordock
A1013,Myron Korach
A1014,Susan Bowes
A1015,Diana Gabaldon
A1016,Zadie Smith
A1017,Natalie Goldberg
A1018,Sue Grafton
A1019,William J. Kennedy
A1020,Bob Shacochis
A1021,Randy Alcorn
A1022,Nancy Cobb
A1023,Connie Grigsby
A1024,Margriet De Moor
A1025,Helga Van Beuningen
A1026,Dale Carnegie
A1027,Clifford Stoll
A1028,Sandra Cisneros
A1029,Gary Paulsen
A1030,Marguerite Henry
A1031,Wesley Dennis
A1032,Sherry Garland
A1033,Ann Druyan
A1034,Kimberly Kirberger
A1035,Ariella Papa
A1036,Michael J. Rosen
A1037,Dawn Chipman
A1038,Pamela Nelson
A1039,Mari Florence
A1040,Naomi Wax
A1041,Shannon Olson
A1042,Naylor
A1043,Karen Stolz
A1044,Clare Naylor
A1045,Stephen Chbosky
A1046,Margaret Weis
A1047,Tracy Hickman
A1048,Ivan Doig
A1049,Margaret Sayers Peden
A1050,Sylvia Nasar
A1051,Ha Jin
A1052,Elizabeth Laird
A1053,Harlan Ellison
A1054,Margaret Sayers Peden From The Span
A1055,David M. Gitlitz
A1056,Dr. Linda Kay Davidson
A1057,Wolfgang Hohlbein
A1058,Christoph Hein
A1059,Gaby Hauptmann
A1060,Carolyn See
A1061,Christa Wolf
A1062,Thomas Brussig
A1063,Piers Vitebsky
A1064,Christopher A. Weidner
A1065,Robert Silverberg
A1066,Gabriele Haefs
A1067,Christopher Tolkien
A1068,H.p. Lovecraft
A1069,Pamela Grim
A1070,Arthur C. Clarke
A1071,Jay Bennett
A1072,J. Applegate
A1073,Michael J. Straczynski
A1074,John Myers Myers
A1075,Reay Tannahill
A1076,Jack Whyte
A1077,Peter Matthiessen
A1078,Paul Kent
A1079,Robin Mckinley
A1080,Patricia Mckillip
A1081,Joan Vinge
A1082,James
A1083,Hank Whittemore
A1084,Caroline Hebard
