Author_id,Name,Fname,Lname
A0093,Niccolo Machiavelli,Niccolo,Machiavelli
A0094,H. Jackson Brown Jr.,,
A0095,Robert A. Heinlein,,
A0096,Philip Pullman,Philip,Pullman
A0097,Unknown Author,Unknown,Author
A0098,Michael Ondaatje,Michael,Ondaatje
A0099,Sandra Levy Ceren,Sandra,Ceren
A0100,P. J. O'Rourke,,
A0101,Mike Gayle,Mike,Gayle
A0102,Stel Pavlou,Stel,Pavlou
A0103,Sarah Payne Stuart,Sarah,Stuart
A0104,Dan Quayle,Dan,Quayle
A0105,Donald F. Kettl,,
A0106,Donald Kettl,Donald,Kettl
A0107,David Frum,David,Frum
A0108,Louis L'Amour,Louis,L'Amour
A0109,J.d. Salinger,,
A0110,John Berendt,John,Berendt
A0111,Jennifer Crusie,Jennifer,Crusie
A0112,Jane Heller,Jane,Heller
A0113,Michael Rips,Michael,Rips
A0114,Simon Mawer,Simon,Mawer
A0115,William Abrahams,William,Abrahams
A0116,Robert T. Kiyosaki,,
A0117,Sharon L. Lechter,,
A0118,Ken Follett,Ken,Follett
A0119,John F. Love,,
A0120,Robert G. Allen,,
A0121,Louis De Bernieres,Louis,Bernieres
A0122,Pam Proctor,Pam,Proctor
A0123,Allen M. Schoen,,
A0124,Mitch Albom,Mitch,Albom
A0125,Michael Jan Friedman,Michael,Friedman
A0126,Ronald D. Moore,,
A0127,Glendon Swarthout,Glendon,Swarthout
A0128,Neal Barrett Jr.,,
A0129,J. Michael Straczynski,,
A0130,David Morrell,David,Morrell
A0131,Sandra Brown,Sandra,Brown
A0132,James Patterson,James,Patterson
A0133,Peter De Jonge,Peter,Jonge
A0134,Stuart Woods,Stuart,Woods
A0135,Iris Johansen,Iris,Johansen
A0136,Dan Brown,Dan,Brown
A0137,Joe Hutsko,Joe,Hutsko
A0138,Anita Shreve,Anita,Shreve
A0139,Ann Rule,Ann,Rule
A0140,Lewis Grizzard,Lewis,Grizzard
A0141,Paul Theroux,Paul,Theroux
A0142,Charles Hickey,Charles,Hickey
A0143,Todd Lighty,Todd,Lighty
A0144,John O'Brien,John,O'Brien
A0145,Stephen King,Stephen,King
A0146,Ben Mezrich,Ben,Mezrich
A0147,Bill Hand,Bill,Hand
A0148,Tom Clancy,Tom,Clancy
A0149,Dana Reeve,Dana,Reeve
A0150,Roy,Roy,
A0151,Barbara Metzger,Barbara,Metzger
A0152,Gabriel Garcia Marquez,Gabriel,Marquez
A0153,Rebecca Wells,Rebecca,Wells
A0154,Tony Hillerman,Tony,Hillerman
A0155,Robert James Waller,Robert,Waller
A0156,Rachel Harris,Rachel,Harris
A0157,Ian Mcewan,Ian,Mcewan
A0158,Michael Lewis,Michael,Lewis
A0159,Richard Zimler,Richard,Zimler
A0160,Norman Jetmundsen,Norman,Jetmundsen
A0161,Lorenzo Carcaterra,Lorenzo,Carcaterra
A0162,Anne Frasier,Anne,Frasier
A0163,Kay Hooper,Kay,Hooper
A0164,Daphne Du Maurier,Daphne,Maurier
A0165,Nathaniel Hawthorne,Nathaniel,Hawthorne
A0166,Leo Marx,Leo,Marx
A0167,Nick Page,Nick,Page
A0168,Laura Wolf,Laura,Wolf
A0169,Lois Duncan,Lois,Duncan
A0170,Susan Grant,Susan,Grant
A0171,Barbara Vine,Barbara,Vine
A0172,Shirley Rousseau Murphy,Shirley,Murphy
A0173,Jane Lindskold,Jane,Lindskold
A0174,Betty Smith,Betty,Smith
A0175,Cybill Shepherd,Cybill,Shepherd
A0176,Aimee Lee Ball,Aimee,Ball
A0177,Stewart O'Nan,Stewart,O'Nan
A0178,David Baldacci,David,Baldacci
A0179,Douglas Adams,Douglas,Adams
A0180,Mary Lawson,Mary,Lawson
A0181,Willa Cather,Willa,Cather
A0182,Olivia Goldsmith,Olivia,Goldsmith
A0183,Helen Fielding,Helen,Fielding
A0184,Dover Thrift Editions,Dover,Editions
A0185,Franklin W. Dixon,,
A0186,Lilian Jackson Braun,Lilian,Braun
A0187,Holly Virden,Holly,Virden
A0188,Michelle Mckinney Hammond,Michelle,Hammond
A0189,H. Norman Wright,,
A0190,Piers Anthony,Piers,Anthony
A0191,Ray Bradbury,Ray,Bradbury
A0192,Friedrich Schiller,Friedrich,Schiller
A0193,Walter Schafarschik,Walter,Schafarschik
A0194,Peter Naujack,Peter,Naujack
A0195,Raymond Chandler,Raymond,Chandler
A0196,Hans Wollschläger,Hans,Wollschläger
A0197,Thomas Schlück,Thomas,Schlück
A0198,Norbert Wölfl,Norbert,Wölfl
A0199,Alexander Schmitz,Alexander,Schmitz
A0200,Jürgen Bauer,Jürgen,Bauer
A0201,Alastair Ker,Alastair,Ker
A0202,Paulo Coelho,Paulo,Coelho
A0203,Maralde Meyer-minnemann,Maralde,Meyer-minnemann
A0204,Gabriel García Márquez,Gabriel,Márquez
A0205,Fay Weldon,Fay,Weldon
A0206,Arabella Weir,Arabella,Weir
A0207,Kiana Davenport,Kiana,Davenport
A0208,Margarete Längsfeld,Margarete,Längsfeld
A0209,Sue Townsend,Sue,Townsend
A0210,Renan Demirkan,Renan,Demirkan
A0211,Michael Moore,Michael,Moore
A0212,Helmut Dierlamm,Helmut,Dierlamm
A0213,Heike Schlatterer,Heike,Schlatterer
A0214,Jonathan Franzen,Jonathan,Franzen
A0215,Bettina Abarbanell,Bettina,Abarbanell
A0216,J. D. Salinger,,
A0217,Annemarie Böll,Annemarie,Böll
A0218,Heinrich Böll,Heinrich,Böll
A0219,Elisab,Elisab,
A0220,James Joyce,James,Joyce
A0221,Joanna Trollope,Joanna,Trollope
A0222,Antoinette Gittinger,Antoinette,Gittinger
A0223,Milan Kundera,Milan,Kundera
A0224,Arundhati Roy,Arundhati,Roy
A0225,Robert S. Levinson,,
A0226,Lorna Landvik,Lorna,Landvik
A0227,Arthur Golden,Arthur,Golden
A0228,Kent Haruf,Kent,Haruf
A0229,Patricia D Cornwell,Patricia,Cornwell
A0230,Patricia D. Cornwell,,
A0231,Carol J. Farley,,
A0232,Tom Newsom,Tom,Newsom
A0233,Kathleen E. Woodiwiss,,
A0234,Belva Plain,Belva,Plain
A0235,Mark Haddon,Mark,Haddon
A0236,Ann Brashares,Ann,Brashares
A0237,Erich Segal,Erich,Segal
A0238,Elizabeth Adler,Elizabeth,Adler
A0239,Nicholas Sparks,Nicholas,Sparks
A0240,John Saul,John,Saul
A0241,Steve Thayer,Steve,Thayer
A0242,Tracy Chevalier,Tracy,Chevalier
A0243,Judith Kelman,Judith,Kelman
A0244,Michael Palmer,Michael,Palmer
A0245,Francine Hughes,Francine,Hughes
A0246,Norman Bridwell,Norman,Bridwell
A0247,Frank Mccourt,Frank,Mccourt
A0248,Malachy Mccourt,Malachy,Mccourt
A0249,Mari Sandoz,Mari,Sandoz
A0250,Anne Perry,Anne,Perry
A0251,Alexander Mccall Smith,Alexander,Smith
A0252,Barbara Bergman,Barbara,Bergman
A0253,Gregory Maguire,Gregory,Maguire
A0254,Yann Martel,Yann,Martel
A0255,Ruth Rendell,Ruth,Rendell
A0256,Al Franken,Al,Franken
A0257,Donna Tartt,Donna,Tartt
A0258,John Milne,John,Milne
A0259,Terry Pratchett,Terry,Pratchett
A0260,E. B. White,,
A0261,Garth Williams,Garth,Williams
A0262,J. M. Barrie,,
A0263,Mary O'Hara,Mary,O'Hara
A0264,Paul Kidby,Paul,Kidby
A0265,Louise Rennison,Louise,Rennison
A0266,Kenneth Grahame,Kenneth,Grahame
A0267,Bernard Cornwell,Bernard,Cornwell
A0268,Charles De Lint,Charles,Lint
A0269,Lord Dunsany,Lord,Dunsany
A0270,Neil Gaiman,Neil,Gaiman
A0271,Georgette Heyer,Georgette,Heyer
A0272,Oscar Wilde,Oscar,Wilde
A0273,Jeffrey Eugenides,Jeffrey,Eugenides
A0274,Ted Hughes,Ted,Hughes
A0275,Andrew Davidson,Andrew,Davidson
A0276,Roald Dahl,Roald,Dahl
A0277,Quentin Blake,Quentin,Blake
A0278,Donna Jo Napoli,Donna,Napoli
A0279,A.s. Byatt,,
A0280,Tanuja Desai Hidier,Tanuja,Hidier
A0281,Sophie Kinsella,Sophie,Kinsella
A0282,Isabel Wolff,Isabel,Wolff
A0283,Louisa May Alcott,Louisa,Alcott
A0284,Margaret Drabble,Margaret,Drabble
A0285,George Orwell,George,Orwell
A0286,Charles Dickens,Charles,Dickens
A0287,Isabel Allende,Isabel,Allende
A0288,Ellen Datlow,Ellen,Datlow
A0289,Terri Windling,Terri,Windling
A0290,Charles Vess,Charles,Vess
A0291,Neil Gaim,Neil,Gaim
A0292,Joseph Heller,Joseph,Heller
A0293,John Galsworthy,John,Galsworthy
A0294,Enid Blyton,Enid,Blyton
A0295,Alan Moore,Alan,Moore
A0296,Kevin O'Neill,Kevin,O'Neill
A0297,Ben Dimagmaliw,Ben,Dimagmaliw
A0298,Sam Kieth,Sam,Kieth
A0299,Mike Dringenberg,Mike,Dringenberg
A0300,Malcolm Jon,Malcolm,Jon
A0301,John Bolton,John,Bolton
A0302,Trudy Suggs,Trudy,Suggs
A0303,Tom Wolfe,Tom,Wolfe
A0304,Brady Udall,Brady,Udall
A0305,Homer Hickam,Homer,Hickam
A0306,Pearl Abraham,Pearl,Abraham
A0307,Sebastian Junger,Sebastian,Junger
A0308,Karen Armstrong,Karen,Armstrong
A0309,Mary Barnard,Mary,Barnard
A0310,Dudley Fitts,Dudley,Fitts
A0311,David Brin,David,Brin
A0312,T. C. Boyle,,
A0313,T. Coraghessan Boyle,,
A0314,Plato,Plato,
A0315,Alexander Nehamas,Alexander,Nehamas
A0316,Paul Woodruff,Paul,Woodruff
A0317,Lynda Madaras,Lynda,Madaras
A0318,Dane Saavedra,Dane,Saavedra
A0319,Jackie Aher,Jackie,Aher
A0320,Stephen Mccauley,Stephen,Mccauley
A0321,Isabelle Holland,Isabelle,Holland
A0322,Pam Conrad,Pam,Conrad
A0323,Lurlene Mcdaniel,Lurlene,Mcdaniel
A0324,Brian Kaufman,Brian,Kaufman
A0325,John Darnton,John,Darnton
A0326,Martin Schenk,Martin,Schenk
A0327,David Eddings,David,Eddings
A0328,Leigh Eddings,Leigh,Eddings
A0329,Paul Reiser,Paul,Reiser
A0330,David G. Hartwell,,
A0331,Kathryn Cramer,Kathryn,Cramer
A0332,Dave Barry,Dave,Barry
A0333,John R. Holt,,
A0334,Theodore Beale,Theodore,Beale
A0335,Frank M. Robinson,,
A0336,Mary Jane Clark,Mary,Clark
A0337,Mary Shelley,Mary,Shelley
A0338,Robert Westall,Robert,Westall
A0339,Robert B. Parker,,
A0340,Rita Chapman Works,Rita,Works
A0341,Mark Carwardine,Mark,Carwardine
A0342,A. Manette Ansay,,
A0343,Sarah Waters,Sarah,Waters
A0344,Anne Frank,Anne,Frank
A0345,Barry Lopez,Barry,Lopez
A0346,Greg Palast,Greg,Palast
A0347,Andrea Kane,Andrea,Kane
A0348,Nevada Barr,Nevada,Barr
A0349,Margaret Maron,Margaret,Maron
A0350,Edna Barker,Edna,Barker
A0351,Shelagh Rogers,Shelagh,Rogers
A0352,Muriel Whitaker,Muriel,Whitaker
A0353,John Irving,John,Irving
A0354,William Golding,William,Golding
A0355,Hermann Stiehl,Hermann,Stiehl
A0356,Harperreference,Harperreference,
A0357,Ltd,Ltd,
A0358,Ann Patchett,Ann,Patchett
A0359,Lane Smith,Lane,Smith
A0360,Sue Monk,Sue,Monk
A0361,Sue Monk Kidd Kidd,Sue,Kidd
A0362,Roseanne J. Serra (co,,
A0363,Bob Thiele,Bob,Thiele
A0364,Bob Golden,Bob,Golden
A0365,Steve Allen,Steve,Allen
A0366,Colleen Mccullough,Colleen,Mccullough
A0367,Joanne Harris,Joanne,Harris
A0368,Thomas Cahill,Thomas,Cahill
A0369,Michael Hudson,Michael,Hudson
A0370,Jane Smiley,Jane,Smiley
A0371,Dick Francis,Dick,Francis
A0372,Nora Roberts,Nora,Roberts
A0373,Jean Marzollo,Jean,Marzollo
A0374,Walter Wick,Walter,Wick
A0375,Carol Devine Carson,Carol,Carson
A0376,Barbara Delinsky,Barbara,Delinsky
A0377,P. D. James,,
A0378,Arthur W. Upfield,,
A0379,Christopher Rice,Christopher,Rice
A0380,Rex Stout,Rex,Stout
A0381,Joan Anderson,Joan,Anderson
A0382,Vance Havner,Vance,Havner
A0383,Warren W. Wiersbe,,
A0384,Max Lucado,Max,Lucado
A0385,Larry Crabb,Larry,Crabb
A0386,Barry Neil Kaufman,Barry,Kaufman
A0387,Bob Sjogren,Bob,Sjogren
A0388,Frederick J. Moody,,
A0389,Neal Pirolo,Neal,Pirolo
A0390,William Sleator,William,Sleator
A0391,Antoine De Saint-exupery,Antoine,Saint-exupery
A0392,Richard Bach,Richard,Bach
A0393,Kevin Sullivan,Kevin,Sullivan
A0394,Michele Morgan,Michele,Morgan
A0395,Scott Cunningham,Scott,Cunningham
A0396,David Allen Hulse,David,Hulse
A0397,Richard Webster,Richard,Webster
A0398,Bernard King,Bernard,King
A0399,Pat Hutchins,Pat,Hutchins
A0400,William Shakespeare,William,Shakespeare
A0401,Roma Gill,Roma,Gill
A0402,Melissa Mcclone,Melissa,Mcclone
A0403,Cheryl St. John,,
A0404,Lewis Carroll,Lewis,Carroll
A0405,Martin Gardner,Martin,Gardner
A0406,Mark Twain,Mark,Twain
A0407,Mary Crow Dog,Mary,Dog
A0408,Richard Erdoes,Richard,Erdoes
A0409,Linda Gordon,Linda,Gordon
A0410,Florence King,Florence,King
A0411,Alice Sebold,Alice,Sebold
A0412,Spalding Gray,Spalding,Gray
A0413,Thomas Harris,Thomas,Harris
A0414,Edward Rutherfurd,Edward,Rutherfurd
A0415,Margaret Atwood,Margaret,Atwood
A0416,Dorothy Allison,Dorothy,Allison
A0417,Maya Angelou,Maya,Angelou
A0418,Edith Wharton,Edith,Wharton
A0419,Mary Brave Bird,Mary,Bird
A0420,John G. Neihardt,,
A0421,Vine Deloria Jr.,,
A0422,Roland Warren,Roland,Warren
A0423,Johnny Molloy,Johnny,Molloy
A0424,James Mccourt,James,Mccourt
A0425,Wayne Koestenbaum,Wayne,Koestenbaum
A0426,Elizabeth Wurtzel,Elizabeth,Wurtzel
A0427,Bill Bradley,Bill,Bradley
A0428,Don Miguel Ruiz,Don,Ruiz
A0429,Paul Lester,Paul,Lester
A0430,Leo Tolstoy,Leo,Tolstoy
A0431,Simon Nye,Simon,Nye
A0432,Robert A Johnson,Robert,Johnson
A0433,Marc Gascoigne,Marc,Gascoigne
A0434,Stephanie Maze,Stephanie,Maze
A0435,Sandra Dallas,Sandra,Dallas
A0436,Anne Mccaffrey,Anne,Mccaffrey
A0437,David Gemmell,David,Gemmell
A0438,Laura Zigman,Laura,Zigman
A0439,Margaret Truman,Margaret,Truman
A0440,Mark C. Young,,
A0441,Paula Danziger,Paula,Danziger
A0442,Tony Ross,Tony,Ross
A0443,Richard A. Lupoff,,
A0444,Bruce Coville,Bruce,Coville
A0445,Carrie A. Bebris,,
A0446,Ellen Carol Dubois,Ellen,Dubois
A0447,Candice F. Ransom,,
A0448,Sam Bobrick,Sam,Bobrick
A0449,Julie Stein,Julie,Stein
A0450,Price Stern Sloan,Price,Sloan
A0451,Anna,Anna,
A0452,Vogel,Vogel,
A0453,Malvina (editor) Sewell,Malvina,Sewell
A0454,Marian Leighton,Marian,Leighton
A0455,Donna K. Grosvenor,,
A0456,James L. Stanfield,,
A0457,Mary Wollstonecraft Shelley,Mary,Shelley
A0458,D. J. Arneson,,
A0459,Eva Clif,Eva,Clif
A0460,Valerie Block,Valerie,Block
A0461,Luanne Rice,Luanne,Rice
A0462,Ellen Gilchrist,Ellen,Gilchrist
A0463,Tim Gautreaux,Tim,Gautreaux
A0464,Richard Russo,Richard,Russo
A0465,Jostein Gaarder,Jostein,Gaarder
A0466,Anna Quindlen,Anna,Quindlen
A0467,Diane Johnson,Diane,Johnson
A0468,Wally Lamb,Wally,Lamb
A0469,Adeline Yen Mah,Adeline,Mah
A0470,Barbara Ehrenreich,Barbara,Ehrenreich
A0471,Dorothy Dunnett,Dorothy,Dunnett
A0472,John Lecarre,John,Lecarre
A0473,Singer Media Corporation,Singer,Corporation
A0474,Emily Dickinson,Emily,Dickinson
A0475,Hazel Harrison,Hazel,Harrison
A0476,Joseph Girzone,Joseph,Girzone
A0477,Joseph F. Girzone,,
A0478,Lorraine Anderson,Lorraine,Anderson
A0479,Ad Hudler,Ad,Hudler
A0480,Josephine Carlton,Josephine,Carlton
A0481,Ted L. Nancy,,
A0482,Jerry Seinfeld,Jerry,Seinfeld
A0483,Francis Wheen,Francis,Wheen
A0484,Ellen Rimbauer,Ellen,Rimbauer
A0485,Joyce Reardon,Joyce,Reardon
A0486,Steven Rimbauer,Steven,Rimbauer
A0487,Sidney Sheldon,Sidney,Sheldon
A0488,Christopher Moore,Christopher,Moore
A0489,Pamela Johnson,Pamela,Johnson
A0490,Robert Lacey,Robert,Lacey
A0491,Tim Dorsey,Tim,Dorsey
A0492,Jodi Compton,Jodi,Compton
A0493,Elmore Leonard,Elmore,Leonard
A0494,Lynn Coady,Lynn,Coady
A0495,John Lawton,John,Lawton
A0496,Eileen Yin-fei Lo,Eileen,Lo
A0497,Tilden Edwards,Tilden,Edwards
A0498,Vikram Seth,Vikram,Seth
A0499,Elizabeth Gaskell,Elizabeth,Gaskell
A0500,Elizabeth Porges Watson,Elizabeth,Watson
A0501,Anita Diamant,Anita,Diamant
A0502,Lauren Haney,Lauren,Haney
A0503,Gerald Stern,Gerald,Stern
A0504,Martha Grimes,Martha,Grimes
A0505,Henry James,Henry,James
A0506,Sarah Orne Jewett,Sarah,Jewett
A0507,William Carlos Williams,William,Williams
A0508,Rh Value Publishing,Rh,Publishing
A0509,Harry Kemelman,Harry,Kemelman
A0510,Mil Millington,Mil,Millington
A0511,Suzanne G. Farnham,,
A0512,Joseph P. Gill,,
A0513,R. Taylor Mclean,,
A0514,Czeslaw Milosz,Czeslaw,Milosz
A0515,Margaret Guenther,Margaret,Guenther
A0516,Roberto Juarroz,Roberto,Juarroz
A0517,Mary Crow,Mary,Crow
A0518,Hans Kmoch,Hans,Kmoch
A0519,Barnie F. Winkelman,,
A0520,Emma Mclaughlin,Emma,Mclaughlin
A0521,Nicola Kraus,Nicola,Kraus
A0522,Paul Jennings,Paul,Jennings
A0523,Mark E. Neely Jr.,,
A0524,Stephen J. Weininger,,
A0525,Frank R. Stermitz,,
A0526,Larry Katzenstein,Larry,Katzenstein
A0527,David Steinman,David,Steinman
A0528,Alfie Kohn,Alfie,Kohn
A0529,Paula Polk Lillard,Paula,Lillard
A0530,David Lewis,David,Lewis
A0531,Billie Livingston,Billie,Livingston
A0532,Adele Lang,Adele,Lang
A0533,Jen Banbury,Jen,Banbury
A0534,Patricia Daniels Cornwell,Patricia,Cornwell
A0535,Catherine Coulter,Catherine,Coulter
A0536,Dominick Dunne,Dominick,Dunne
A0537,Clive Cussler,Clive,Cussler
A0538,John Pascal,John,Pascal
A0539,Carl Hiaasen,Carl,Hiaasen
A0540,Diane Stevenson,Diane,Stevenson
A0541,Jonathan Safran Foer,Jonathan,Foer
A0542,Francesca Marciano,Francesca,Marciano
A0543,Julia Glass,Julia,Glass
A0544,Tawni O'Dell,Tawni,O'Dell
A0545,Jennifer Weiner,Jennifer,Weiner
A0546,Danielle Steel,Danielle,Steel
A0547,Leon Hale,Leon,Hale
A0548,Russell Banks,Russell,Banks
A0549,Samuel Taylor Coleridge,Samuel,Coleridge
A0550,Bradley P Warshauer,Bradley,Warshauer
A0551,Bradley P. Warshauer,,
A0552,Bobbie Ann Mason,Bobbie,Mason
A0553,Karen Robards,Karen,Robards
A0554,Emma Lathen,Emma,Lathen
A0555,Faye Kellerman,Faye,Kellerman
A0556,Jacquelyn Mitchard,Jacquelyn,Mitchard
A0557,Diane Mott Davidson,Diane,Davidson
A0558,Candace Bushnell,Candace,Bushnell
A0559,Kristin Hannah,Kristin,Hannah
A0560,Michael Marshall,Michael,Marshall
A0561,Allen Widome,Allen,Widome
A0562,Wilbur Smith,Wilbur,Smith
A0563,Mike Thaler,Mike,Thaler
A0564,Jared Lee,Jared,Lee
A0565,Michael Slade,Michael,Slade
A0566,John Sandford,John,Sandford
A0567,John Camp,John,Camp
A0568,Tami Hoag,Tami,Hoag
A0569,Ted Dekker,Ted,Dekker
A0570,Angela Hunt,Angela,Hunt
A0571,C. S. Lewis,,
A0572,C. S Lewis,,
A0573,Will Eisner,Will,Eisner
A0574,Robin Cook,Robin,Cook
A0575,E. Lynn Harris,,
A0576,Linda Goodman,Linda,Goodman
A0577,Anne Rice,Anne,Rice
A0578,Judith Rossner,Judith,Rossner
A0579,Marilyn French,Marilyn,French
A0580,Wayne W. Dyer,,
A0581,Armistead Maupin,Armistead,Maupin
A0582,Julie Morgenstern,Julie,Morgenstern
A0583,Peter Straub,Peter,Straub
A0584,James Maybrick,James,Maybrick
A0585,Shirley Harrison,Shirley,Harrison
A0586,Barbara Taylor Bradford,Barbara,Bradford
A0587,Lisa Jackson,Lisa,Jackson
A0588,Sharyn Mccrumb,Sharyn,Mccrumb
A0589,Cokie Roberts,Cokie,Roberts
A0590,Shana Corey,Shana,Corey
A0591,Mark Teague,Mark,Teague
A0592,Jesse S. Ostrow,,
A0593,Charles Shaw,Charles,Shaw
A0594,Justine Korman,Justine,Korman
A0595,Bill Langley,Bill,Langley
A0596,Ron Dias,Ron,Dias
A0597,Walt Disney P,Walt,P
A0598,Patricia Reilly Giff,Patricia,Giff
A0599,Beverly Cleary,Beverly,Cleary
A0600,K.a. Applegate,,
A0601,Jane Yolen,Jane,Yolen
A0602,Golden Books,Golden,Books
A0603,Marvin Miller,Marvin,Miller
A0604,Craig Boldman,Craig,Boldman
A0605,H. G. Wells,,
A0606,Raymond James,Raymond,James
A0607,Jim Deal,Jim,Deal
A0608,Bobbie Kalman,Bobbie,Kalman
A0609,Mercedes Lackey,Mercedes,Lackey
A0610,Dorothy Gilman,Dorothy,Gilman
A0611,Moveon.org,,
A0612,Christopher Finch,Christopher,Finch
A0613,Charles Frazier,Charles,Frazier
A0614,Julia Spencer-fleming,Julia,Spencer-fleming
A0615,Fannie Flagg,Fannie,Flagg
A0616,Laura Ingall Wilder,Laura,Wilder
A0617,Brooke Zimmer,Brooke,Zimmer
A0618,John Fontana,John,Fontana
A0619,Lisa Gardner,Lisa,Gardner
A0620,Tracy Dockray,Tracy,Dockray
A0621,Gertrude Chandler Warner,Gertrude,Warner
A0622,Lynn S. Hightower,,
A0623,Eric Schlosser,Eric,Schlosser
A0624,Suzanne Brockmann,Suzanne,Brockmann
A0625,Gail Carson Levine,Gail,Levine
A0626,Frances Kuffel,Frances,Kuffel
A0627,Susan Conant,Susan,Conant
A0628,David Schickler,David,Schickler
A0629,Judith Mcnaught,Judith,Mcnaught
A0630,Janet Evanovich,Janet,Evanovich
A0631,Sylvia Plath,Sylvia,Plath
A0632,Ilona Koidahl,Ilona,Koidahl
A0633,Fern Michaels,Fern,Michaels
A0634,Betsy Byars,Betsy,Byars
A0635,Bruce Sterling,Bruce,Sterling
A0636,Sarah Ban Breathnach,Sarah,Breathnach
A0637,Alice Hoffman,Alice,Hoffman
A0638,Lisa Scottoline,Lisa,Scottoline
A0639,Spencer Johnson,Spencer,Johnson
A0640,Kenneth Blanchard,Kenneth,Blanchard
A0641,David Feldman,David,Feldman
A0642,Kas Schwan,Kas,Schwan
A0643,Richard Bausch,Richard,Bausch
A0644,Katie Fforde,Katie,Fforde
A0645,James Burke,James,Burke
A0646,Bliss Broyard,Bliss,Broyard
A0647,Sara Paretsky,Sara,Paretsky
A0648,Charles Webb,Charles,Webb
A0649,Elizabeth Benedict,Elizabeth,Benedict
A0650,Stanley Morison,Stanley,Morison
A0651,Brooke Crutchley (editor),Brooke,(editor)
A0652,Mike P,Mike,P
A0653,Henry Miller,Henry,Miller
A0654,David Whyte,David,Whyte
A0655,Thomas Cummings,Thomas,Cummings
